,Text,NER,POS
0,diri,MN,N
1,nesag,MN,N
2,ezem-dšul-gi min3,MN,N
3,ezem-an-na min(3),MN,N
4,ezem-a-bi,MN,N
5,ezem-dba-ba6,MN,N
6,gu4-ra2-bi2-mu2-mu2,MN,N
7,še-kar-ra-gal2-la,MN,N
8,sig4-(g)a,MN,N
9,diri še-il2-la,MN,N
10,ezem-dšu-dsuen,MN,N
11,(diri ezem-)(d)me-ki-gal2 (us2-sa),MN,N
12,ga2-udu-ur4,MN,N
13,ki-siki-dnin-a-zu min(3),MN,N
14,udruduru5,MN,N
15,(ezem-)(d)me-ki-gal2,MN,N
16,ezem-dli9-si4,MN,N
17,kin-dinanna,MN,N
18,ni-ik-mu-um,MN,N
19,kir11-si-ak,MN,N
20,u5-bi2mušen-gu7,MN,N
21,ddumu-zi,MN,N
22,apin-du8-a,MN,N
23,ezem-maḫ min(3),MN,N
24,maš(2)-da3/ku3-gu7,MN,N
25,ezem-an-na,MN,N
26,maš-da3/ku3-gu7 min(3),MN,N
27,a2-ki-ti,MN,N
28,dal,MN,N
29,gešapin,MN,N
30,sig4-geši/u3-šub-ba-gar,MN,N
31,ezem-dšul-gi,MN,N
32,ses-da/šaḫ2-ku3-gu7,MN,N
33,ezem-dnin-mug,MN,N
34,du6-ku3,MN,N
35,pa4/5-u2-e,MN,N
36,bara2-za3-gar,MN,N
37,šu-eš(5)-ša,MN,N
38,ezem-dšuba3-nun-na,MN,N
39,še-il2-la,MN,N
40,ezem-ddumu-zi min(3),MN,N
41,u5-bi2mušen-gu7 min(3),MN,N
42,GAN-GAN-e3,MN,N
43,ses-da/šaḫ2-ku3-gu7 min,MN,N
44,a-bu-um,MN,N
45,šu-gar-gal,MN,N
46,gu4-si-su,MN,N
47,ezem-damar-dsuen,MN,N
48,dli9-si4,MN,N
49,ezem-ddumu-zi,MN,N
50,šu-gar-ra,MN,N
51,ki-siki-dnin-a-zu,MN,N
52,ezem-dnin-a-zu min(3),MN,N
53,amar-a-a-si,MN,N
54,ezem-dnin-a-zu,MN,N
55,ezem-maḫ,MN,N
56,gi-sig-ga,MN,N
57,munu4-gu7,MN,N
58,a2-ki-ti min(3),MN,N
59,apin-du8-a min(3),MN,N
60,mu-šu-du7,MN,N
61,šu-numun,MN,N
62,še-sag(11)-ku5,MN,N
63,diri ezem-maḫ,MN,N
64,ku3-ŠIM (v. ab-e3),MN,N
65,diri še-sag(11)-ku5,MN,N
66,še-sag(11)-ku5 min(3),MN,N
67,UR,MN,N
68,min(3)-eš3,MN,N
69,ezem-lum-lum-ne,MN,N
70,NE-NE-gar,MN,N
71,nig2-den-lil2-la2,MN,N
72,nig2-e-ga,MN,N
73,GAN2-maš,MN,N
74,diri ezem-dnin-a-zu,MN,N
75,ezem-a-dara4,MN,N
76,e2-iti-6,MN,N
