Month,Drehem Š26-Š43,Drehem Š44,Drehem Š45,Drehem Š46,Drehem Š47-AS3,Drehem AS4-5,Drehem ŠS2,Drehem < ŠS3,Drehem ŠS3,Girsu < Š12,Girsu > Š12,Nippur,Ur,Garšana,Umma < Š30,Umma Š30-39,Umma Š40-AS6,Umma AS7-ŠS2,Umma ŠS3-IS8,Adab,Irisagrig (Owen),Irisagrig (Ozaki)
a-bu-um,,,,,,,,,,,,,,,,,,,,,nn here?,
a2-ki-ti,6,6,6,6,6,6,6,6,6,,,,7,7,,,,,,3,,
a2-ki-ti min(3),,06m =  Š45 vi ?,,,,,,,,,,,,,,,,,,,,
amar-a-a-si,,,,,,,,,,10,10,,,,,,,,,,,
apin-du8-a,,,,,,,,,,,,8,,,,,,,,,,
apin-du8-a min(3),,,,,,,,,,,,08m (1x),,,,,,,,,,
bara2-za3-gar,,,,,,,,,,,,1,,,,,,,,,,
dal,,,,,,,,,,,,,,,5,5,5,5,5,,,
ddumu-zi,,,,,,,,,,,,,,,12,12,12,12,12,,,
diri,,,,,,,,13,,,13,13,13,,13 (=01d ?),13,13,13,13,,13,
(diri ezem-)(d)me-ki-gal2 (us2-sa),,,,,,,,11d,11d,,nd (1x),,12d,12d,,,,,,,,
diri ezem-dnin-a-zu,,,,05d (1x),,,,,,,,,,,,,,,,,,
diri ezem-maḫ,,,,,09d (2x AS 3 ?),,,,,,,,,,,,,,,,,
diri še-il2-la,,,,,,,,,,12d,,,,,,,,,,,,
diri še-sag(11)-ku5,12d,12d,,,12d,12d,12d,12d,,,11d,,,,01d,01d,01d,01d,01d,,12d,12d
dli9-si4,,,,,,,,,,,,,,,9,9,9,9,9,,,
e2-iti-6,,,,,,,,,,,,,,,8,8,8,8,8,,,
(ezem-)(d)me-ki-gal2,11,11,11,11,11,11,11,11,11,,,,12,12,,,,,,,,
ezem-a-bi,,,,,,,,,,,,,,,,,,,,,5,5
ezem-a-dara4,,,,,,,,,,,,,,,,,,,,,9,11
ezem-an-na,10,10,10,10,10,10,10,10,10,,,,11,11,,,,,,,11,
ezem-an-na min(3),,,,,,10m (AS4 2x, AS5 1x),,,,,,,,,,,,,,,
ezem-damar-dsuen,,,,,,,,,,,,,,,,,,7,,,,
ezem-dba-ba6,,,,,,,,,,8,8,,,,,,,,,,,
ezem-ddumu-zi,,,,,,,,,,6,6,,,,,,,,,6,,
ezem-ddumu-zi min(3),,,,,,,,,,,06m ? (AS9 1x w/a-ra2),,,,,,,,,,,
ezem-dli9-si4,,,,,,,,,,3,3,,,,,,,,,,4,4
ezem-dnin-a-zu,5,5,5,5,5,5,5,5,5,,,,6,6,,,,,,,,
ezem-dnin-a-zu min(3),,05m =  Š45 v ?,,,,,,,,,,,,,,,,,,,,
ezem-dnin-mug,,,,,,,,,,,,,,,,,,,,10,,
ezem-dšu-dsuen,,,,,,,,,8,,,,,,,,,,,,,
ezem-dšuba3-nun-na,,,,,,,,,,,,,,,,,,,,9,,
ezem-dšul-gi,7,7,7,7,7,7,7,7,7,,7,,8,8,,10,10,10,10,nn,7,7
ezem-dšul-gi min3,,,07m (1x),,,,,,,,,,,,,,,,,,,
ezem-lum-lum-ne,,,,,,,,,,,,,,,,,,,,,nn here?,
ezem-maḫ,9,9,9,9,9,9,9,9,9,,,,10,10,,,,,,,,
ezem-maḫ min(3),,,,,,09m,09m (1x),,,,,,,,,,,,,,,
ga2-udu-ur4,,,,,,,,,,,,,,,,,,,,5,,
GAN-GAN-e3,,,,,,,,,,,,9,,,,,,,,,,
GAN2-maš,,,,,,,,,,1,1,,,,,,,,,,,
gešapin,,,,,,,,,,,,,,,,,,,,,2,3
gi-sig-ga,,,,,,,,,,,,,,,,,,,,,6,6
gu4-ra2-bi2-mu2-mu2,,,,,,,,,,2,2,,,,,,,,,,,
gu4-si-su,,,,,,,,,,,,2,,,,,,,,,,
ki-siki-dnin-a-zu,4,4,4,4,4,4,4,4,4,,,,5,5,,,,,,,,
ki-siki-dnin-a-zu min(3),,04m =  Š45 iv ?,,,,,,,,,,,,,,,,,,,,
kin-dinanna,,,,,,,,,,,,6,,,,,,,,,,
kir11-si-ak,,,,,,,,,,,,,,,,,,,,,3,9
ku3-ŠIM (v. ab-e3),,,,,,,,,,,,10,,,,,,,,04? (ab-be2),,
maš-da3/ku3-gu7 min(3),,01m = Š45 i ?,,,,,,,,,,,,,,,,,,,,
maš(2)-da3/ku3-gu7,1,1,1,1,1,1,1,1,1,,,,2,2,,,,,,,,
min(3)-eš3,,,,,,,,,,,,,,,7,7,7,,7,,,
mu-šu-du7,,,,,,,,,,9,9,,,,,,,,,,,
munu4-gu7,,,,,,,,,,5,5,,,,,,,,,,,
NE-NE-gar,,,,,,,,,,,,5,,,,,,,,,,
nesag,,,,,,,,,,,,,,,4,4,4,4,4,,,
ni-ik-mu-um,,,,,,,,,,,,,,,,,,,,,nn here?,
nig2-den-lil2-la2,,,,,,,,,,,,,,,,,,,,,8,8
nig2-e-ga,,,,,,,,,,,,,,,,,,,,,10,10
pa4/5-u2-e,,,,,,,,,,,,,,,11,11,11,11,11,,,
du6-ku3,,,,,,,,,,,,7,,,,,,,,12,,
še-il2-la,,,,,,,,,,12,12,,,,,,,,,,,
še-kar-ra-gal2-la,,,,,,,,,,,,,,,3,3,3,3,3,,,
še-sag(11)-ku5,12,12,12,12,12,12,12,12,12,11,11,12,1,1,1,1,1,1,1,11,12,12
še-sag(11)-ku5 min(3),12m,,,,,,,,,,11m ? (1x w/a-ra2),12m,,,,,,,,,,
ses-da/šaḫ2-ku3-gu7,2,2,2,2,2,2,2,2,2,,,,3,3,,,,,,,03 ?,
ses-da/šaḫ2-ku3-gu7 min,,02m = Š45 ii ?,,,,,,,,,,,,,,,,,,,,
sig4-(g)a,,,,,,,,,,,,3,,,,,,,,,,
sig4-geši/u3-šub-ba-gar,,,,,,,,,,,,,,,2,2,2,2,2,,,
šu-eš(5)-ša,8,8,8,8,8,8,8,8,08v (3x),,,,9,9,,,,,,,,
šu-gar-gal,,,,,,,,,,,,,,,,,,,,,nn,2
šu-gar-ra,,,,,,,,,,,,,,,,,,,,1,1,1
šu-numun,,,,,,,,,,4,4,4,,,6,6,6,6,6,,,
u5-bi2mušen-gu7,3,3,3,3,3,3,3,3,3,,,,4,4,,,,,,,,
u5-bi2mušen-gu7 min(3),,03m = Š45 iii ?,,,,,,,,,,,,,,,,,,,,
udruduru5,,,,,,,,,,,,11,,,,,,,,,,
UR,,,,,,,,,,07v (UR),,,,,10,,,,,,,
