,AJ,AV,V,NU,N,NE,J,CNJ,O,<e>,DET
AJ,0.018875344,0.002359418,0.28195044,0.0027526543,0.40267402,0.136453,0.0,0.0,0.061738104,0.07707432,0.01612269
AV,0.0076923077,0.0025641026,0.4974359,0.0051282053,0.31025642,0.06153846,0.0025641026,0.0025641026,0.033333335,0.051282052,0.025641026
V,0.0048229406,0.002778433,0.12683809,0.0067626014,0.24898429,0.04830804,0.0003145396,0.00060286757,0.04547718,0.5027129,0.012398102
NU,0.0006392227,0.0,0.07657888,0.15597034,0.52365124,0.18959345,0.0,0.00025568908,0.009076962,0.043722834,0.00051137817
N,0.022551084,0.0011038095,0.32011756,0.024579013,0.31832066,0.19710699,0.0005133997,0.00084710954,0.037927404,0.06912927,0.0078036757
NE,0.0053219977,0.0005355469,0.100682825,0.0012049805,0.26837596,0.04970545,0.00030124513,0.004652564,0.022124782,0.54234165,0.004752979
J,0.0,0.0,0.2578125,0.0078125,0.5078125,0.0078125,0.0859375,0.0,0.0546875,0.0390625,0.0390625
CNJ,0.006,0.0,0.056,0.0,0.438,0.4,0.0,0.006,0.01,0.0,0.084
O,0.0049062553,0.00064248586,0.10933941,0.006600082,0.14017873,0.026750773,0.00017522341,0.00040885463,0.4558729,0.25039425,0.004731032
<e>,0.0063325693,0.0033191396,0.02358336,0.093154274,0.59115624,0.18853587,0.0010699858,0.005546457,0.0788514,0.0,0.008428868
DET,0.0052966103,0.006355932,0.44491526,0.002118644,0.31567797,0.023305085,0.001588983,0.0026483051,0.05349576,0.09375,0.050847456
